block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,WBTC_collateral,WETH_collateral,ZRX_collateral,UNI_collateral,AAVE_collateral,MKR_collateral,TUSD_debt,USDC_collateral,USDC_debt,WETH_USD_price,USDT_USD_price,WBTC_USD_price,ZRX_USD_price,UNI_USD_price,AAVE_USD_price,MKR_USD_price,TUSD_USD_price,USDC_USD_price,USDT_debt (in USD),WBTC_collateral (in USD),WETH_collateral (in USD),ZRX_collateral (in USD),UNI_collateral (in USD),AAVE_collateral (in USD),MKR_collateral (in USD),TUSD_debt (in USD),USDC_collateral (in USD),USDC_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11975759,1614913720,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.8628093124944e+18,5.631927918600263e+18,0.99,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3307153577.0,0.0,6.399811005388603e+18,2.605923979264183e+20,3.177366422259325e+18,1.9679387880658803e+17,9.028821261877874e+16,3.646164393548118e+21,0.0,1341610522.0,1482.576254886087,1.0072800471145409,47403.28265722045,1.333172912255869,27.41668202140468,355.93577748230365,2085.6380742472884,1.006723953867103,1.0058902330973023,3331.2298108555824,0.0,9488.207832347798,347.4147260553034,87.11284486457214,70.04598225678114,188.30853389345938,3670.6810347222086,0.0,1349.5129207003733,10174.63812851531,8349.762601346772
11980759,1614979412,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.861105286159565e+18,5.387413254245596e+18,1.04,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3307397921.0,0.0,6.399836034309594e+18,2.605924312360038e+20,3.1773682975935544e+18,1.9679387910420266e+17,9.028934419211616e+16,3.6471080367986814e+21,0.0,1341716024.0,1548.8869129967115,1.0036050375833687,49452.229800626905,1.3501157806775756,27.688541181111425,374.8152430964051,2132.422175611872,1.0022954955994106,1.002216271276474,3319.3212148083608,0.0,9912.622278866904,351.8299537368647,87.97669295547703,73.76134563632627,192.53499977672146,3655.4799572477277,0.0,1344.689630685176,10627.076186425107,8344.49388440603
11985759,1615045176,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.857850134049199e+18,5.375955701220464e+18,1.04,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3307645223.0,0.0,6.399854789613426e+18,2.605924645024958e+20,3.177369841888036e+18,1.9679387910420266e+17,9.029141564990182e+16,3.647876675907268e+21,0.0,1341822346.0,1545.053557384343,1.0034435660607803,47776.44275302296,1.3350251161000768,28.09880882012856,360.8327399746968,2147.809424144393,1.0037526553283722,1.0038810839656018,3319.035317831025,0.0,9888.11840943545,347.8974851772496,89.28030773805403,71.00967460741867,193.92875345219767,3661.5658997523565,0.0,1347.0300711917469,10595.745745621409,8306.139480511318
11990759,1615112291,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.844901894143972e+18,4.953647245983501e+18,1.12,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3308404552.0,0.0,6.399870997944802e+18,2.6059266592977066e+20,3.1773741896441416e+18,1.9679387910420266e+17,9.029354005914246e+16,3.648201189032116e+21,0.0,1342129007.0,1682.4998027732256,1.0019477000030246,50839.16005107333,1.4144749242878212,31.59366143799992,416.290058661501,2220.731387918708,1.0007097489485253,0.9993878780116638,3314.848331555937,0.0,10767.781691816217,368.6017914109738,100.38488440945636,81.92333547651286,200.51769853563292,3650.79049599004,0.0,1341.3074603236316,11516.546086899312,8334.510514375374
11995759,1615178660,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.839098641397762e+18,4.824015100043696e+18,1.15,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3309303404.0,0.0,6.399878428829073e+18,2.6059269825554917e+20,3.1781340204600673e+18,1.9679387910420266e+17,9.029549708772918e+16,3.6489199472758615e+21,0.0,1343159363.0,1725.7623777374831,0.9994413318890992,50650.878213525866,1.4134879172473054,33.873009960015565,407.79003936909567,2203.0584118438737,1.0001523010785778,0.99998692653752,3307.4546017188895,0.0,11044.66941456689,368.34463030709173,107.65296532930817,80.25058370749986,198.9262544107458,3649.4756817194757,0.0,1343.1418032564632,11802.659132959792,8325.103769292931
12000759,1615244877,0x9d02F545eda2b7C610C97E54b826684A77bbD678,5.861803865683203e+18,4.647095705545865e+18,1.02,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3310063952.0,0.0,5.443355932726785e+18,2.6059273015324462e+20,3.178637683264561e+18,1.9679389030125363e+17,9.029742170194107e+16,3.650061109837594e+21,0.0,1343934762.0,1792.6728318763555,1.0004799354127123,51735.55462703721,1.399148660953667,32.752677170181755,425.3927518566974,2194.3302853041587,1.004597796050193,1.0008979286167887,3311.652568908907,0.0,9758.156294832286,364.6079694481725,104.10889388093861,83.71469454383531,198.1423671254503,3666.8433463913684,0.0,1345.141519481897,10508.296535798076,8330.722218461357
12005759,1615312293,0x9d02F545eda2b7C610C97E54b826684A77bbD678,5.862731165828823e+18,4.545792531570473e+18,1.05,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3311218197.0,0.0,5.44336310759829e+18,2.605927626080815e+20,3.17871093271975e+18,1.9679389030125363e+17,9.029936698988586e+16,3.651784057070084e+21,0.0,1344860658.0,1835.1489568546865,0.9959602975061452,53877.35036881788,1.4372645313607777,32.47630388272099,424.38205080627387,2262.507675686464,0.9994865309136128,1.0009027632522398,3297.841860591882,0.0,9989.382128690286,374.5407348259146,103.23278220633408,83.5157947521909,204.30301092424568,3649.9089788466167,0.0,1346.0747487814256,10758.984983290224,8342.206422389378
12010759,1615378806,0x9d02F545eda2b7C610C97E54b826684A77bbD678,5.857387219690387e+18,4.5732882916095457e+18,1.04,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3312206741.0,0.0,5.443371146686393e+18,2.6059279438322742e+20,3.1787200729713254e+18,1.9679390371259824e+17,9.030128595571587e+16,3.653622368654423e+21,0.0,1345775489.0,1819.2481576898344,0.9967168765394896,54962.356390589775,1.4246268345117528,31.76348895930788,426.2162881735831,2200.571989376242,1.0020522311959237,1.006407180146781,3301.3323573425623,0.0,9902.842930231223,371.2474877587494,100.96723994255504,83.87676717557315,198.71448047880259,3661.1204464575003,0.0,1354.3981149951455,10656.04090829772,8319.946299095158
12015759,1615445309,0x9d02F545eda2b7C610C97E54b826684A77bbD678,5.853292375534367e+18,4.66004327871532e+18,1.02,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3314360517.0,0.0,5.443376803022674e+18,2.6059282619824046e+20,3.1787885282697103e+18,1.9679391836259242e+17,9.03030207856751e+16,3.6559022668407814e+21,0.0,1347416844.0,1786.410573720006,1.0016401804024428,55451.82797220784,1.372831725950851,30.29317014883652,403.6948589641625,2192.124866917549,1.0020460062856074,0.9984554862815644,3319.7966661666137,0.0,9724.105877661907,357.75009936014055,96.29558175404395,79.44469311839165,197.95549742205068,3663.382265858304,0.0,1345.335740199991,10456.383390729285,8324.750587089893
12020759,1615512699,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.451115343488356e+18,4.595497612215078e+18,1.14,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3315840826.0,0.0,6.043382131218641e+18,2.6059285836508103e+20,3.1792133045772385e+18,1.9679395130431008e+17,9.030475261648534e+16,3.6581114224520924e+21,0.0,1348676351.0,1815.276013183009,1.002303398042145,57625.94533607029,1.3583267228296638,30.73214928512486,403.59330783251056,2270.0951854775094,0.9991344237523642,1.0006948169708432,3323.4785272666727,0.0,10970.40662130001,353.97024329585525,97.70405788552281,79.42472176833651,205.00038414042092,3654.9450480936125,0.0,1349.6134342168498,11710.55494131128,8342.096584093822
12025759,1615579563,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.447560179984404e+18,5.153558450735935e+18,1.02,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3316126021.0,0.0,6.043391632074589e+18,2.6059288879718937e+20,3.179372319957946e+18,1.9679395130431008e+17,9.03064552218216e+16,4.329596337088935e+21,0.0,1349238850.0,1752.452560599574,1.0010468506768768,56789.97623059428,1.319000338919459,30.55632645199147,369.8872240471848,2122.482260347069,0.9972770296883818,1.0013824807254703,3319.597509769693,0.0,10590.757140335152,343.7221086434936,97.14993852106046,72.79156835722812,191.67384920314325,4317.806974801751,0.0,1351.1041467041807,11299.043347033521,9031.366703191763
12030759,1615645759,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.437594775628132e+18,4.792213360401061e+18,1.09,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3316398495.0,0.0,6.043410542399638e+18,2.6059291482304892e+20,3.1793738768592236e+18,1.9679395836069235e+17,9.03080767209505e+16,4.3320890402703907e+21,0.0,1349381770.0,1882.367246197912,0.998473056039976,60007.91563728666,1.381105358326777,32.731534975200546,394.6958333766681,2190.678076643955,1.001655314170372,1.003024530659683,3311.334540349027,0.0,11375.918060340236,359.90627100410626,104.06578724965662,77.67375539866678,197.83592381646656,4339.260008646063,0.0,1353.4630165349822,12117.917549937192,9020.705466410987
12035759,1615712443,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.430714868078564e+18,4.749355347084664e+18,1.1,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3317146507.0,0.0,6.043458598221912e+18,2.605929415849992e+20,3.1793761478114176e+18,1.9679397358047072e+17,9.030966536303096e+16,4.334575343757681e+21,0.0,1349699705.0,1896.3286751422927,0.9990734203141144,60792.75860082579,1.364507946805768,33.08494989396375,394.1712155333412,2164.7948751305616,1.003786745312672,1.001094917176728,3314.0729064315074,0.0,11460.383836843455,355.5811396742227,105.18950054440425,77.57051977585037,195.5019007526454,4350.98927662308,0.0,1351.1775143904292,12194.749006001268,9006.338733117023
12040759,1615778848,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.425687938103088e+18,4.792222068175937e+18,1.09,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3318426014.0,0.0,6.04352602078751e+18,2.605929681572883e+20,3.1793787332903444e+18,1.9679397358047072e+17,9.031122915083216e+16,4.3366900854141333e+21,0.0,1349887194.0,1888.9384579288856,1.0066959570011682,60240.45590210154,1.367053243483198,31.35966684018269,387.1070244663284,2085.4169755828057,1.0015303485861988,1.0016493909024562,3340.646051901302,0.0,11415.848722159453,356.24446234833465,99.70425783474725,76.18032954564127,188.33657035689413,4343.326732955129,0.0,1352.1136856571256,12137.729064932688,9052.212563513029
12045759,1615845540,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.437536974966244e+18,5.015212082158172e+18,1.05,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3319788848.0,0.0,6.043608985523291e+18,2.6059299475075603e+20,3.1793812964035057e+18,1.9679397358047072e+17,9.031278199413126e+16,4.3382731033219417e+21,0.0,1350057529.0,1801.4783267516743,1.001726114010708,56737.85462145762,1.3685499087186357,30.054173645265923,375.661228002969,2045.2358803335103,1.0033158179020354,1.0032604044122948,3325.5191820431255,0.0,10887.430602781882,356.63451917886306,95.55367756662164,73.92786577882346,184.71094218713543,4352.6580269418555,0.0,1354.4592625244034,11597.083338064225,9034.795870071084
12050759,1615912597,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.435678114659755e+18,5.003073058322413e+18,1.05,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3321308859.0,0.0,6.043686479027852e+18,2.605930213694741e+20,3.179382193755826e+18,1.9679397358047072e+17,9.031436750562248e+16,4.3416609126464535e+21,0.0,1350285833.0,1800.1071063194508,1.003476186201477,55943.5040981187,1.3583086622097529,29.31762908354225,374.4814365918433,2046.731710246806,1.0004369704819036,1.0009416152338724,3332.854347026499,0.0,10879.282979264817,353.9657582375679,93.21194787135217,73.69568993903192,184.84927986464126,4343.558090307715,0.0,1351.5572827104347,11584.90990818359,9006.067365721563
12055759,1615978434,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.44673560316138e+18,5.122520019356043e+18,1.02,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3322779471.0,0.0,6.043757375827687e+18,2.605930474799921e+20,3.1793827028433485e+18,1.9679397358047072e+17,9.031594658773397e+16,4.3486006393827696e+21,0.0,1350687543.0,1766.41172541848,1.0030261619353666,55057.18892103553,1.3682392404913364,30.404004517163795,367.5413587121829,2062.6966895022106,1.0046610015936552,1.0028007791386726,3332.8347397547577,0.0,10675.763894246451,356.5536333613471,96.6659660590416,72.32992443613563,186.29440403577732,4368.869473893103,0.0,1354.4705204932993,11387.58936009704,9048.479425881414
12060759,1616045477,0x9d02F545eda2b7C610C97E54b826684A77bbD678,6.469850181220082e+18,4.920198918720676e+18,1.07,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3325132924.0,0.0,6.043830135973456e+18,2.605930741306133e+20,3.179383220806573e+18,1.9679397577351798e+17,9.031804150237883e+16,4.3552372570287196e+21,0.0,1351270351.0,1830.0506783201408,1.0031295566993377,59029.2498370434,1.6150100603551656,30.864126114405646,376.14002080511176,2132.126586289977,1.004862781647702,1.0032363364624244,3335.5391160184927,0.0,11060.515439989933,420.86043637982,98.12888469299929,74.02209014177171,192.56949750886344,4376.415824833587,0.0,1355.6435165075343,11840.153712771496,9004.213368674797
