block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,DAI_debt,LINK_collateral,USDC_collateral,USDC_debt,GUSD_debt,WETH_USD_price,USDT_USD_price,DAI_USD_price,LINK_USD_price,USDC_USD_price,GUSD_USD_price,USDT_debt (in USD),DAI_debt (in USD),LINK_collateral (in USD),USDC_collateral (in USD),USDC_debt (in USD),GUSD_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11905440,1613978239,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.2612501594423316e+19,2.069613058226722e+19,1.19,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4632628760.0,2.915994428606595e+21,1.771735250560576e+21,3862228724.0,25026965327.0,628540.0,1871.470268709996,1.0006292711397051,1.002311118276512,32.456251759950376,0.9997043940046254,1.0080129363394037,4635.543939579636,2922.733636624755,57503.88534417282,3861.087026033678,25019.567206003307,6335.764510067687,61033.32712222057,38732.1930620528
11910440,1614045188,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.3111577206621872e+19,2.2533147897766285e+19,1.11,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4633731328.0,2.917368881672203e+21,1.7717357069110802e+21,3862862856.0,25032079320.0,628634.0,1757.649837818575,0.997718608788406,1.0031147524251445,29.80984907585733,1.0003182405656814,0.9924969099704086,4623.159974071413,2926.4557634714324,52815.17402532669,3864.0921756604434,25040.04554308298,6239.173025023379,58198.55830713616,39605.383748050874
11915440,1614110715,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.5557837089191633e+19,1.8141144081693942e+19,1.09,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4634089783.0,2.918713473397233e+21,1.2216475452728214e+21,8207638635.0,12518516148.0,628683.0,1471.241540521908,0.995197597262634,1.0148501817102231,23.74164416899017,1.000718555198585,0.9802773274144168,4611.835017540921,2962.0568988372584,29003.921319787634,8213.536276409286,12527.511392856717,6162.836910308778,37601.751611510255,26690.00476558129
11920440,1614177597,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.5288407541466477e+19,1.6046238007565865e+19,1.21,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4635350768.0,2.9200848945258174e+21,1.221647859856672e+21,8208891574.0,12521370496.0,628740.0,1646.1595731615434,1.003677454973337,1.0006308802235184,27.228587728570155,1.001620337352551,0.9820039603818574,4652.397061734943,2921.927118336768,33263.74592552737,8222.192747640393,12541.659340319799,6174.25170050489,41628.754164395614,26414.66830938316
11925440,1614244166,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.555706599731343e+19,1.6458879725448706e+19,1.2,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4638998919.0,2.921455069406761e+21,1.2216481690676272e+21,8210535620.0,12525540652.0,628806.0,1609.3038467937863,1.001112750136166,0.9969498118877,26.882362142086595,0.9982286041362176,0.9915346538583318,4644.160965678791,2912.544081883438,32840.788491092986,8195.991511163294,12503.35296109741,6234.829395540422,41129.08462223918,26487.338456080863
11930440,1614310587,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.7042413975132533e+19,1.7718688284971633e+19,1.22,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4641757798.0,2.922819081871979e+21,7.952806865996956e+20,20324422428.0,12529678813.0,628932.0,1480.448169421731,0.9985469886047584,1.0022812283608025,24.96303307237907,1.010943296247767,0.9954947327928496,4635.013271025554,2929.48669965504,19852.618081412536,20546.838603694363,12666.794800140027,6260.984932848724,40034.892266229595,26231.59963604053
11935440,1614376968,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.762823539451812e+19,1.8316786100845509e+19,1.28,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4642479405.0,2.9241855001402493e+21,0.0,39990794040.0,12532021394.0,628980.0,1430.4389802546616,0.9953237465168902,0.9981420230123648,25.059346380391936,0.9968074362479812,1.0025751452059737,4620.769994512103,2918.752430773412,0.0,39863.120880533446,12492.012116757991,6305.997148316534,39520.50486397024,26201.04483163621
11940440,1614443546,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.7124458508275245e+19,1.804814745691579e+19,1.2,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4642855645.0,2.9255547385691117e+21,7.655367560245804e+20,19995410173.0,12534377389.0,629027.0,1455.8437128323542,1.003981272863114,1.0042150084576775,25.5960735071993,1.000229362354934,1.0035878567779806,4661.340120186794,2937.885976535579,19594.73507966806,19999.99636736515,12537.252303315572,6312.838587854828,39488.97238325457,26275.282003422093
11945440,1614510437,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.8410362839324357e+19,1.9290351709299175e+19,1.2,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4643603211.0,2.926931906530684e+21,6.031326101256392e+20,24140037291.0,12537401885.0,629075.0,1364.942256587646,1.0027986803738158,1.0063303417260676,24.51141284268733,1.0057717480469304,0.9959369891054576,4656.599172170413,2945.4603857079537,14783.632405677125,24279.367504087157,12609.764609843329,6265.190614215157,38778.504764381185,26330.21619246017
11950440,1614576518,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.6554623376286376e+19,1.8332705195639443e+19,1.23,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4644474745.0,2.9282915343582615e+21,0.0,38201089162.0,12540631138.0,629123.0,1444.194783321099,1.0056864361825748,1.0062265868170013,25.17350670892443,1.002220638734423,0.9996009853081992,4670.885254239023,2946.524795822433,0.0,38285.91998029028,12568.479349259154,6288.719706800502,38350.04855308929,26475.997207706096
